Article Title,Article Author,Article Publish Date,Comment Title,Comment Body,Comment Poster,Comment Date,Comment Time,Comment Recs
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"Nice one John, I completely agree with your pick for a starting line-up.",habsjuve ,"Mar 19, 2012 ", 1:55 PM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",Ale!,"I was just about to post that article from Football Italia, and in the time it took me to sign up on SB Nation, you’d updated!
It’ll be good to see Del Piero starting a match – I think he’s been rather criminally underused this season, when we could have done with a bit more invention up front to break down stubborn defences…","British Beef, Goan Spices ","Mar 19, 2012 ", 1:56 PM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",WINNING,Tomorrow is the big game that my boy EL CAPITANO will win and prove to all that he is vintage and still got it. I would really love to see him retire with a trophy.,Mitchwants30thscudetto ,"Mar 19, 2012 ", 3:23 PM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"I would really love to see him end his Juve career with a trophy.
FTFY.",Will. ,"Mar 20, 2012 ", 9:15 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",No,It is not EL it is IL,XhakaJuve ,"Mar 20, 2012 ", 9:57 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",PDC,BTW I am really glad to see PDC reaching top level right now and becoming our steady LB. we waited on that one and its finally paying off,Mitchwants30thscudetto ,"Mar 19, 2012 ", 3:24 PM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,Agree on both posts and even more so ur username.,DelPiero ,"Mar 19, 2012 ", 3:27 PM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"Yeah, I have all my fingers and toes crossed he can maintain his good form and build on his experience.",Shake Appeal ,"Mar 20, 2012 ", 3:57 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",what's important to me is,DEL PIERO!!!!,mue ,"Mar 19, 2012 ", 3:43 PM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,would be awesome to see ADP starting again!,Calvin ,"Mar 19, 2012 ", 4:36 PM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"Aye, lets all wish to see our capitano starting. :(",Linez ,"Mar 19, 2012 ", 8:05 PM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"ADP as a lone striker in a 4-3-3? I don’t think it will work that well. As we all know, he’s best when playing with another striker in a 2 striker pairing. Oh well, I’m still excited to see capitano play.",Refly ,"Mar 19, 2012 ", 8:06 PM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",preview,i like the line up except i would like to see caceres play with chiellini n two i would quags to start n pepe to sit,nickdil40 ,"Mar 19, 2012 ", 9:59 PM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"I present to you, Ciro Immobile’s 22nd goal of the season:
http://www.youtube.com/watch?v=zYJGzOQtheA",Refly ,"Mar 20, 2012 ", 2:35 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",That was damn Impressive,He really did buttfuck Quagliarella in the bet.,Zenpath ,"Mar 20, 2012 ", 4:06 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,,GiGi* ,"Mar 20, 2012 ", 3:09 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"Giles, Chiellini and Elia retweeted your picture! :D",GiGi* ,"Mar 20, 2012 ", 3:11 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",well he did pretty good job,,SJ_JUVE ,"Mar 20, 2012 ", 4:27 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"thanks, mate.",Giles09 ,"Mar 20, 2012 ", 8:29 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"Now you just need to do a fatality picture for the game review.
BTW the Ibra-Pique was a nice touch lol.",Will. ,"Mar 20, 2012 ", 9:19 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT","NO, YOU GOTTA BE SHITTIN ME!",,Giles09 ,"Mar 20, 2012 ", 8:27 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,How´d you know?,Giles09 ,"Mar 20, 2012 ", 8:29 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,Go and check their twitters ;),GiGi* ,"Mar 20, 2012 ", 9:35 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",What's cooking GIGI?,"I see that you spotted right on Chiellini and Elia’s re-tweet.
Good eyes Gigi!",zizou mike ,"Mar 20, 2012 ", 10:23 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,;),GiGi* ,"Mar 20, 2012 ", 11:36 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"i wouldnt mind this line up
storari
lich-bonnuci-cheillini-pdc
marrone/vidal/padoin-pirlo-giach/marchisio
quags-borriello-ADP
only defense n gk n adp is confirm. no idea who conte is picking for mid n attack very high chances of borriello playing. i would prefer is he is flanked by ADP n quags or ADP n Elia. He is not matri so pepe just wont work imo.",SJ_JUVE ,"Mar 20, 2012 ", 4:30 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"No More Boriello.
No More
No More
No More",Zenpath ,"Mar 20, 2012 ", 5:33 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"Agree.
Agree.
Agree.
Agree.",Refly ,"Mar 20, 2012 ", 5:39 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",Super Agree,"Super Agree.
Super Agree
Super Agree",XhakaJuve ,"Mar 20, 2012 ", 9:58 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,"look i dont like borriello but with matri not called up there is a very high chance he will play unless marotta use quags as prima punta. so since that is like 85% confirm i rather see him flanked by ADP with quags/elia (if we play 433) rather than pepe, coz he does not have off ball movements like matri which will reduce pepe to last years pepe.",SJ_JUVE ,"Mar 20, 2012 ", 7:32 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,Needs moar Del Piero time.,Somnath_Sengupta_ ,"Mar 20, 2012 ", 4:35 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",Funny B squad against A squad comment,"Milan has been playing with half a B squad for the entire season. Lets see just for this game missing from the starting 11, Robinho Pato Prince-Boateng Nesta Abate VanBommel. Not to mention the long term injuries to Flamini and Cassano(Still 4th in the league in Assists 1 behind pirlo after being out 6 months). Injuries have been a problem all year long yet were 4 clear of juve , in the quarterfinals of champions league and still in position for a meaningless trophy today against you guys. Keep up the good reporting FORZA MILAN",Delious ,"Mar 20, 2012 ", 6:11 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",,Well if it isn’t our Chinese friend fsun! hey :),GiGi* ,"Mar 20, 2012 ", 6:18 AM,
Coppa Preview: A Second Helping of Milanese,johncas,"Mar 19, 2012, 1:34pm PDT",its juve fansite after all,"at your own site you could say Milan D squad vs Juve A+ squad. doesnt matter anyway. FORZA JUVE,",bebek ,"Mar 20, 2012 ", 8:10 AM,
